Hell map part one
10
vertex0<you are facing right now a three hell people running really fast towrds you, your strongest hit is with your swords by typing "hit with sword">
vertex1< >
vertex2< >
vertex3< >
vertex4<you are walking in a narrow pass leading to north>
vertex5<to the east there is a huge rock and ro the north east there's a really narrow pass to move around the rock>
vertex6<you are behind the rock>
vertex7<to the east there's the a narrow pass to pass the big rock>
vertex8<you can see a narrow pass to the east>
vertex9<after finishing talking with Nia bogzila is telling you to follow him to the east>
start
0	1	n
1	0	s
1	2	n
2	1	s
2	3	n
3	2	s
3	4	n
4	3	s
4	5	n
5	4	s
5	6	e
6	5	w
5	7	n
7	5	s
7	8	e
8	7	w
6	8	n
8	6	s
9	8	w
8	9	e
end
